Country,Health posts,Health centers,Rural/District hospitals,Provincial hospitals,Specialized Hospitals,Hospitals,Year,Total_hf_densities,Region,GDP,Population,Health Expenditure,GDP Per Capita,Population Density
Afghanistan,2.95,1.22,0.18,0.1,0.09,0.37,2013,4.909999999999999,Asia,20564485419.1684,31541209.0,1810901279.4503,651.9878619481074,48.31236252795392
Afghanistan,2.87,1.19,0.18,0.1,0.08,2.2354014598540144,2010,6.655401459854014,Asia,15633843661.8051,28189672.0,1339769064.9642649,554.5947346178806,43.1787396991698
Albania,13.08,7.032648401826484,0.72,0.35,0.28,1.36,2013,22.822648401826484,Europe,12776224537.2743,2895092.0,801368767.2440993,4413.063397389202,100.69885217391304
Albania,12.95,7.032648401826484,0.72,0.34,0.28,2.2354014598540144,2010,23.558049861680495,Europe,11926926654.0521,2913021.0,744120423.1980743,4094.34969883571,101.3224695652174
Angola,22.12099099099099,7.032648401826484,1.1882377049180328,0.0,0.0,2.2354014598540144,2010,32.57727855758952,Africa,81699526880.8079,23364185.0,2201883613.996593,3496.784796080321,18.74082377476538
Antigua and Barbuda,22.12099099099099,7.032648401826484,1.1882377049180328,0.8068924302788845,1.11,1.11,2013,33.36876952801439,North America,1181448148.14815,88497.0,65087069.312556766,13350.149136672992,201.12954545454545
Antigua and Barbuda,22.12099099099099,7.032648401826484,1.1882377049180328,0.8068924302788845,222.07,2.2354014598540144,2010,255.4541709878684,North America,1148700000.0,85695.0,61789380.30636,13404.516016103624,194.76136363636363
Armenia,8.0,0.54,1.81,1.58,0.64,4.03,2013,16.6,Asia,11121464429.703,2901385.0,1148118829.677492,3833.15707143416,97.55833893745798
Armenia,8.0,0.54,1.81,1.58,0.64,4.03,2013,16.6,Asia,11121464429.703,2901385.0,1148118829.677492,3833.15707143416,97.55833893745798
Armenia,7.7,0.52,1.75,1.52,0.61,2.2354014598540144,2010,14.335401459854014,Asia,9260285762.09704,2946293.0,855222859.8022162,3143.029482165229,99.06835911230664
Armenia,7.7,0.52,1.75,1.52,0.61,2.2354014598540144,2010,14.335401459854014,Asia,9260285762.09704,2946293.0,855222859.8022162,3143.029482165229,99.06835911230664
Azerbaijan,22.12099099099099,7.44,5.31,2.12,0.53,7.97,2013,45.49099099099099,Asia,74160553008.7311,9416801.0,2252050673.9681034,7875.3446110554,108.7390415704388
Azerbaijan,22.12099099099099,7.44,5.31,2.12,0.53,7.97,2013,45.49099099099099,Asia,74160553008.7311,9416801.0,2252050673.9681034,7875.3446110554,108.7390415704388
Azerbaijan,22.12099099099099,7.62,5.44,2.18,0.54,2.2354014598540144,2010,40.136392450845,Asia,52909294791.9262,9054332.0,1317423657.504983,5843.533768358196,104.55348729792148
Azerbaijan,22.12099099099099,7.62,5.44,2.18,0.54,2.2354014598540144,2010,40.136392450845,Asia,52909294791.9262,9054332.0,1317423657.504983,5843.533768358196,104.55348729792148
Bangladesh,6.21,0.02,0.04,0.08,0.04,0.17,2013,6.56,Asia,149990529207.544,154030139.0,4124894403.429814,973.773900233538,1037.519459787148
Bangladesh,6.54,0.02,0.04,0.09,0.05,2.2354014598540144,2010,8.975401459854014,Asia,115279077465.226,148391139.0,3159705722.264419,776.8595769402781,999.5361646234676
Barbados,3.86,0.0,0.0,0.7,0.35,1.05,2013,5.96,North America,4677248300.0,276865.0,350588235.6403752,16893.60627020389,643.8720930232558
Barbados,4.02,0.0,0.0,0.73,0.37,2.2354014598540144,2010,7.355401459854014,North America,4529928300.0,274711.0,306856745.99745005,16489.7958217909,638.8627906976744
Belarus,15.36,2.86,4.11,2.79,0.55,7.45,2013,33.12,Europe,75527537703.1836,9443211.0,4301742502.437811,7998.07795284714,45.4875289017341
Belarus,14.98,2.79,4.01,2.72,0.53,2.2354014598540144,2010,27.26540145985401,Europe,57231904542.8755,9483836.0,3237574764.1145024,6034.678851772163,45.68321772639692
Belize,12.05,12.05,1.21,0.3,0.6,2.11,2013,28.320000000000004,North America,2029500000.0,344688.0,114420152.15235,5887.933435454672,15.006007836308228
Belize,12.84,12.84,1.28,0.32,0.64,2.2354014598540144,2010,30.155401459854016,North America,1738500000.0,322106.0,97883263.7541,5397.291574823194,14.022899434044406
Benin,22.12099099099099,5.45,0.25,0.05,0.11,0.41,2013,28.39099099099099,Africa,12517845127.6766,10308730.0,357836690.5575423,1214.2955657657733,89.8285988149181
Benin,22.12099099099099,6.36,0.29,0.06,0.12,2.2354014598540144,2010,31.186392450845,Africa,9535345011.48728,9445710.0,285784017.95325446,1009.4894943299424,82.30838271174625
Bhutan,25.47,1.59,1.33,0.27,0.13,1.72,2013,30.51,Asia,1756214303.92609,728889.0,65118176.85467753,2409.439988703479,18.98445069542116
Bhutan,26.45,1.65,1.38,0.28,0.14,2.2354014598540144,2010,32.13540145985401,Asia,1547990907.46305,705516.0,55089822.70565146,2194.125870232638,18.37568370057821
Bosnia and Herzegovina,42.04,0.0,0.03,0.86,0.13,1.02,2013,44.080000000000005,Europe,18179104548.8804,3617559.0,1717719036.1251054,5025.240652296314,70.64165202108963
Bosnia and Herzegovina,42.82,0.0,0.03,0.88,0.13,2.2354014598540144,2010,46.09540145985402,Europe,17176320823.1892,3811088.0,1549112235.8072686,4506.933669122624,74.4207771919547
Botswana,22.12099099099099,7.032648401826484,0.79,0.35,0.15,1.29,2013,31.733639392817476,Africa,14271738366.7917,2217278.0,927539750.244794,6436.603063211604,3.811524246643632
Botswana,22.12099099099099,7.032648401826484,0.8,0.35,0.15,2.2354014598540144,2010,32.68904085267149,Africa,12637273429.1339,2091664.0,792000909.2130071,6041.732051196512,3.595592456981761
Brunei Darussalam,3.35,0.48,0.72,0.48,0.24,1.44,2013,6.709999999999999,Asia,18094326392.7086,411702.0,343487131.11848235,43950.05706241068,71.35216637781629
Brunei Darussalam,3.51,0.5,0.75,0.5,0.25,2.2354014598540144,2010,7.745401459854014,Asia,13707275498.0569,396053.0,312287504.9811484,34609.699959492544,68.64003466204507
Burkina Faso,22.12099099099099,11.89,0.25,0.0,0.05,0.31,2013,34.62099099099099,Africa,13444300489.8634,17636408.0,747948902.7630583,762.3037803311989,64.3148129239297
Burkina Faso,22.12099099099099,10.35,0.98,0.1,0.02,2.2354014598540144,2010,35.806392450845,Africa,10109619736.1442,16116845.0,529701966.59679306,627.270395424427,58.77341185909124
Burundi,0.0,5.01,0.32,0.15,0.03,0.5,2013,6.010000000000001,Africa,2451606631.76696,10149577.0,209300641.555436,241.5476656580821,364.699137621272
Burundi,0.0,6.07,0.39,0.18,0.04,2.2354014598540144,2010,8.915401459854014,Africa,2032135191.46211,9126605.0,229151471.6337245,222.66058314807205,327.9412504491556
Cabo Verde,33.47,3.81,0.6,0.0,0.4,1.0,2013,39.28,Africa,2028910915.16446,539940.0,107328215.91903752,3757.659953262325,133.98014888337468
Cabo Verde,33.67,3.83,0.6,0.0,0.4,2.2354014598540144,2010,40.73540145985402,Africa,1824751459.69304,521212.0,81667797.70857385,3500.977451963961,129.33300248138957
Cambodia,0.75,6.55,0.4,0.11,0.06,0.57,2013,8.44,Asia,15227991395.2201,14999683.0,1081776336.1962347,1015.2208813492992,82.85286676977464
Cambodia,0.8,7.02,0.43,0.12,0.06,2.2354014598540144,2010,10.665401459854014,Asia,11242275288.5243,14363532.0,777032315.2597009,782.695738661236,79.33899690676094
Cameroon,7.43,0.63,0.67,0.08,0.04,0.79,2013,9.64,Africa,33728621190.2114,21632850.0,1224723481.9329562,1559.139049649556,45.50069409389197
Cameroon,8.43,0.72,0.77,0.09,0.05,2.2354014598540144,2010,12.295401459854014,Africa,27507501809.2414,19878036.0,984059330.599444,1383.8138641685428,41.80976779404341
Canada,22.12099099099099,7.032648401826484,0.85,1.29,0.13,2.27,2013,33.693639392817474,North America,1846597421834.98,35082954.0,192317538296.8083,52635.17495804316,3.5509961284445457
Canada,22.12099099099099,7.032648401826484,0.88,1.33,0.14,2.2354014598540144,2010,33.73904085267149,North America,1617343367486.26,34004889.0,173081788768.10355,47562.0834253057,3.441877476656798
Central African Republic,12.17,1.99,0.28,0.11,0.09,0.48,2013,15.12,Africa,1691544110.6915,4802428.0,80629176.0877209,352.2268549765868,7.708799640437896
Central African Republic,12.77,2.09,0.3,0.11,0.09,2.2354014598540144,2010,17.595401459854013,Africa,2142591539.43526,4660067.0,76426212.78648402,459.7769816260711,7.480283476195062
Chad,5.88,0.0,0.5,0.15,0.01,0.65,2013,7.19,Africa,12953534870.304,13216766.0,526749404.74881625,980.0835446662218,10.293431464174455
Chad,6.72,0.0,0.57,0.17,0.01,2.2354014598540144,2010,9.705401459854016,Africa,10668103549.3123,11894727.0,433149873.58507353,896.8767042162716,9.263806074766356
Chile,10.69,0.12,0.57,0.12,0.35,1.04,2013,12.89,South America,277239473853.807,17509925.0,20639877800.960564,15833.275919446089,23.15833571398341
Chile,11.0,0.12,0.58,0.13,0.36,2.2354014598540144,2010,14.425401459854012,South America,217105434199.5,17004162.0,14708662514.202831,12767.782040626287,22.489421978161506
China,22.12099099099099,7.032648401826484,1.1882377049180328,0.0,0.0,2.2354014598540144,2010,32.57727855758952,Asia,6087191720866.69,1337705000.0,257529805399.8472,4550.473924270815,139.34426067281433
Comoros,7.08,1.63,0.27,0.27,0.14,0.68,2013,10.07,Africa,1116224107.17123,699393.0,56960843.52275849,1595.9898185587074,375.8156904889845
Comoros,7.08,1.63,0.27,0.27,0.14,2.2354014598540144,2010,11.625401459854016,Africa,907978731.702118,656024.0,45324623.701394856,1384.063283816016,352.51155292853304
Costa Rica,2.11,0.7,0.27,0.29,0.29,0.84,2013,4.499999999999999,North America,50949668885.9875,4791535.0,3914102815.781594,10633.266559878515,93.76780821917808
Costa Rica,2.21,0.69,0.28,0.24,0.3,2.2354014598540144,2010,5.955401459854015,North America,37658614803.2775,4622252.0,3023752148.001236,8147.243984810326,90.45502935420744
Croatia,0.84,0.3,0.51,0.68,0.35,1.54,2013,4.22,Europe,59363124068.5843,4255689.0,3823600892.4670434,13949.121768198827,48.32001862091674
Croatia,0.82,0.3,0.5,0.66,0.34,2.2354014598540144,2010,4.855401459854014,Europe,58693611581.162,4295427.0,4707661159.824331,13664.208839112389,75.90434705778407
Cuba,7.53,0.64,0.15,1.46,0.43,2.04,2013,12.25,North America,77148000000.0,11321579.0,8047304014.8852,6814.243843548678,103.03584819803422
Cuba,7.53,0.64,0.15,1.47,0.43,2.2354014598540144,2010,12.455401459854016,North America,59562962962.963,11290417.0,6366138740.051855,5275.532601051227,102.75224790680744
Cyprus,22.12099099099099,3.33,1.1882377049180328,6.92,0.61,7.54,2013,41.70922869590902,Asia,23959708956.2928,1166968.0,1664046042.9929483,20531.590374622785,126.1587027027027
Cyprus,22.12099099099099,3.33,1.1882377049180328,6.92,0.61,7.54,2013,41.70922869590902,Asia,23959708956.2928,1166968.0,1664046042.9929483,20531.590374622785,126.1587027027027
Cyprus,22.12099099099099,3.44,1.1882377049180328,7.16,0.63,2.2354014598540144,2010,36.77463015576304,Asia,25799940416.0173,1129686.0,1681555262.8919733,22838.151854601456,122.12821621621622
Cyprus,22.12099099099099,3.44,1.1882377049180328,7.16,0.63,2.2354014598540144,2010,36.77463015576304,Asia,25799940416.0173,1129686.0,1681555262.8919733,22838.151854601456,122.12821621621622
Czechia,224.84,0.16,0.4,0.64,0.25,1.29,2013,227.58,Europe,211685616592.931,10514272.0,16347410310.3658,20133.169143135256,133.31142386205147
Czechia,229.33,0.16,0.41,0.65,0.26,2.2354014598540144,2010,233.045401459854,Europe,209069940963.177,10474410.0,14374194473.792818,19960.0684872157,132.8060098896919
Denmark,69.07,4.47,0.52,0.41,0.09,1.01,2013,75.57,Europe,343584391647.927,5614932.0,35489377356.61144,61191.19370420283,130.82320596458527
Denmark,69.93,4.52,0.52,0.41,0.09,2.2354014598540144,2010,77.70540145985402,Europe,321995279401.502,5547683.0,34156444848.45067,58041.39843633856,129.25636067101584
Dominica,84.72,0.0,2.78,2.78,0.0,5.56,2013,95.84,North America,498296296.296296,68819.0,26646386.57136295,7240.679119084788,91.75866666666668
Dominica,90.03,0.0,2.95,2.95,0.0,2.2354014598540144,2010,98.16540145985402,North America,493825925.925926,68755.0,25467191.98618185,7182.400202544193,91.67333333333332
Ecuador,2.91,0.36,0.05,0.18,0.1,0.33,2013,3.93,South America,95129659000.0,15722989.0,6469990949.816207,6050.354611327401,61.32928579787026
Ecuador,3.17,0.39,0.06,0.2,0.1,2.2354014598540144,2010,6.155401459854013,South America,69555367000.0,14989585.0,4254409013.028151,4640.246344378446,58.46856106408706
El Salvador,9.84,0.05,0.39,0.03,0.05,0.47,2013,10.830000000000002,North America,21990960000.0,6185642.0,1990700774.293968,3555.1620995848125,293.994391634981
El Salvador,9.46,0.05,0.4,0.03,0.05,2.2354014598540144,2010,12.225401459854016,North America,18447920000.0,6114034.0,1642632758.066872,3017.3073947577,290.59096958174905
Eritrea,2.92,0.88,0.25,0.09,0.02,0.36,2013,4.52,Africa,1223860747.8297005,3296367.0,61283037.41838677,371.2756340024337,27.10027864469101
Eritrea,3.52,1.07,0.3,0.11,0.02,2.2354014598540144,2010,7.255401459854014,Africa,1589515447.15447,3147727.0,78354536.58573261,504.9724601766513,25.87493768473764
Estonia,37.68,7.032648401826484,1.4,0.31,0.23,1.94,2013,48.59264840182648,Europe,25115753366.1116,1317997.0,1511132653.5739896,19056.001922699063,29.06918835465373
Estonia,36.16,7.032648401826484,1.34,0.3,0.22,2.2354014598540144,2010,47.2880498616805,Europe,19523477325.6235,1331475.0,1234495993.9431207,14663.0446126465,29.437873093079816
Eswatini,12.97,0.64,0.16,0.48,0.16,0.8,2013,15.210000000000004,Africa,4597552948.64649,1118319.0,342841091.60587955,4111.128353042817,64.41929723502304
Eswatini,13.66,0.67,0.17,0.51,0.17,2.2354014598540144,2010,17.41540145985402,Africa,4438765109.49036,1099920.0,381345722.62141335,4035.534502045931,63.35944700460829
Ethiopia,15.14,0.0,0.19,0.8068924302788845,0.03,0.22,2013,16.386892430278888,Africa,47648276190.2977,97084366.0,1941698292.841742,490.7924741486976,85.443274842256
Ethiopia,17.18,0.0,0.22,0.8068924302788845,0.03,2.2354014598540144,2010,20.4722938901329,Africa,29933790334.3418,89237791.0,1636292480.0507395,335.4384952709307,78.53760240923421
Fiji,22.12099099099099,7.032648401826484,1.1882377049180328,0.0,0.0,0.0,2013,30.34187709773551,Oceania,4189968869.81721,913453.0,134096048.20851626,4586.956165032257,49.99742747673782
Fiji,22.12099099099099,7.032648401826484,1.1882377049180328,0.0,0.0,2.2354014598540144,2010,32.57727855758952,Oceania,3140167239.46869,905169.0,107288248.90865682,3469.150224398637,49.544006568144496
Finland,40.54,3.58,0.42,0.87,0.09,1.38,2013,46.88,Europe,271362405890.591,5438972.0,26608024141.17262,49892.22336327361,16.071662431298385
Finland,41.01,3.62,0.43,0.88,0.09,2.2354014598540144,2010,48.26540145985402,Europe,249424310816.673,5363352.0,22802439959.530807,46505.30317918216,15.848212280598071
Gabon,29.43,2.21,2.45,0.72,0.36,3.53,2013,38.7,Africa,17595744803.6041,1902226.0,499872596.1149163,9250.081117387786,7.1066088840736725
Gabon,32.68,2.46,2.72,0.8,0.4,2.2354014598540144,2010,41.29540145985401,Africa,14372593013.8124,1711105.0,355803458.5833648,8399.597344296464,6.392591624014645
Georgia,13.8,7.032648401826484,1.1882377049180328,0.8068924302788845,2.21,2.21,2013,27.247778537023407,Asia,17190068235.7892,3717668.0,1355101421.3673775,4623.884713693961,53.338134863701576
Georgia,13.8,7.032648401826484,1.1882377049180328,0.8068924302788845,2.21,2.21,2013,27.247778537023407,Asia,17190068235.7892,3717668.0,1355101421.3673775,4623.884713693961,53.338134863701576
Georgia,13.76,7.032648401826484,1.1882377049180328,0.8068924302788845,2.21,2.2354014598540144,2010,27.233179996877418,Asia,12243219360.2985,3786695.0,1110877727.2777157,3233.220357144819,54.32847919655667
Georgia,13.76,7.032648401826484,1.1882377049180328,0.8068924302788845,2.21,2.2354014598540144,2010,27.233179996877418,Asia,12243219360.2985,3786695.0,1110877727.2777157,3233.220357144819,54.32847919655667
Ghana,1.11,9.13,1.3,0.03,0.03,1.36,2013,12.96,Africa,62824629066.0408,27525597.0,2885066641.789828,2282.40750113579,115.39195522763478
Ghana,1.18,9.69,1.38,0.03,0.04,2.2354014598540144,2010,14.555401459854012,Africa,32197648061.1663,25574719.0,1360046762.0609343,1258.9639034222157,107.2135448981303
Grenada,34.0,4.72,0.94,0.0,0.0,0.94,2013,40.6,North America,842618518.518518,116945.0,47410177.15757552,7205.254765218846,343.9558823529412
Grenada,34.45,4.79,0.96,0.0,0.0,2.2354014598540144,2010,42.43540145985402,North America,771014814.814815,114039.0,41779841.76493335,6760.974884160813,335.4088235294118
Guatemala,3.54,0.5,0.28,0.03,0.03,0.34,2013,4.720000000000001,North America,52996447955.7632,15043981.0,3058896261.241961,3522.767541102531,138.1575994122509
Guatemala,3.81,0.54,0.3,0.03,0.03,2.2354014598540144,2010,6.945401459854015,North America,40676579264.8401,14259687.0,2491350869.467336,2852.55765185029,130.95497290843971
Guinea,6.24,3.52,0.26,0.09,0.03,0.37,2013,10.51,Africa,8376613880.25749,11055430.0,289921893.21212614,757.6922725083955,44.96636297079639
Guinea,7.34,4.15,0.31,0.1,0.03,2.2354014598540144,2010,14.165401459854014,Africa,6853467832.6761,10270728.0,234924963.9210032,667.2816019152781,41.7747010493777
Guinea-Bissau,5.63,32.98,25.64,0.0,30.81,56.45,2013,151.51,Africa,1046087367.44973,1697753.0,73638634.3121369,616.159928711497,46.99011901466925
Guinea-Bissau,6.34,37.09,28.84,0.0,34.65,2.2354014598540144,2010,109.155401459854,Africa,849878489.113364,1567220.0,53212307.84598704,542.2841012195888,43.37724882369222
Guyana,25.64,14.76,2.0,1.25,0.13,3.38,2013,47.16,South America,4167800935.59943,747420.0,158472840.5394396,5576.250214871732,3.4768572358933807
Guyana,27.17,15.64,2.12,1.33,0.13,2.2354014598540144,2010,48.62540145985402,South America,3432912511.30491,747932.0,144833788.2522028,4589.8724901527285,3.479238963576313
Haiti,22.12099099099099,0.29,0.16,0.04,0.04,0.24,2013,22.890990990990986,North America,14902488489.0545,10261206.0,611782970.6067708,1452.3135476526347,369.7731891891892
Haiti,22.12099099099099,0.3,0.17,0.04,0.04,2.2354014598540144,2010,24.906392450845004,North America,11859312627.0763,9842880.0,539445780.9066765,1204.862055320831,354.6983783783784
Honduras,17.59,0.73,0.2,0.07,0.09,0.36,2013,19.04,North America,18499729063.4192,8960657.0,1568264595.0327015,2064.5505193892814,79.65736509911993
Honduras,18.74,0.78,0.21,0.08,0.09,2.2354014598540144,2010,22.135401459854013,North America,15839344591.9842,8450933.0,1382040428.0987058,1874.2717037259908,75.1260823184283
Hungary,5.8,0.11,0.74,0.17,0.11,1.02,2013,7.950000000000001,Europe,135684315697.713,9893082.0,9812472155.026815,13715.07035903604,106.34292163818124
Hungary,5.78,0.11,0.74,0.17,0.11,2.2354014598540144,2010,9.145401459854014,Europe,132175349953.713,10000023.0,9841037393.343924,13217.504595110731,107.49245404708158
Iceland,17.3,1.82,2.12,0.91,0.61,3.64,2013,26.4,Europe,16125060515.3117,323764.0,1318312767.1235,49804.98299783701,3.143339805825242
Iceland,17.8,1.87,2.19,0.94,0.62,2.2354014598540144,2010,25.65540145985402,Europe,13751161917.7398,318041.0,1149835111.1809633,43237.0729488959,3.087776699029126
Indonesia,9.27,3.42,0.43,0.8068924302788845,1.3869841269841272,0.43,2013,15.743876557263013,Asia,912524136718.018,253275918.0,26183493522.697784,3602.885516806291,132.54065716692918
Indonesia,9.66,3.56,0.45,0.8068924302788845,1.3869841269841272,2.2354014598540144,2010,18.099278017117022,Asia,755094157594.248,244016173.0,21073758988.86568,3094.4430785505683,127.6949825477647
Iraq,6.9,7.032648401826484,1.1882377049180328,0.77,0.18,0.95,2013,17.020886106744516,Asia,234637675128.645,35481800.0,6615369192.446721,6612.902252102345,81.55760690676057
Iraq,7.36,7.032648401826484,1.1882377049180328,0.82,0.19,2.2354014598540144,2010,18.82628756659853,Asia,138516722649.573,31264875.0,4474860640.850946,4430.426241895194,71.8336435070306
Israel,22.12099099099099,0.01,1.1882377049180328,0.48,0.08,0.56,2013,24.439228695909023,Asia,297732778479.129,8059500.0,20967794065.074688,36941.84235735828,365.1789759855007
Israel,22.12099099099099,0.01,1.1882377049180328,0.5,0.08,2.2354014598540144,2010,26.13463015576304,Asia,238364092298.023,7623600.0,16678495170.52528,31266.605317438352,345.4281830539193
Italy,22.12099099099099,7.032648401826484,0.11,1.83,0.14,2.08,2013,33.31363939281747,Europe,2141924094298.57,60233948.0,187963227542.19727,35560.081406229096,199.40459961134707
Italy,22.12099099099099,7.032648401826484,0.11,1.84,0.14,2.2354014598540144,2010,33.47904085267149,Europe,2136099955236.72,59277417.0,190455107559.68683,36035.64499506987,196.2380019134701
Jamaica,22.12099099099099,7.032648401826484,0.4,0.29,0.07,0.75,2013,30.663639392817476,North America,14264205123.6886,2773129.0,706710684.1081702,5143.722172206414,252.33202911737945
Jamaica,22.12099099099099,7.032648401826484,0.4,0.29,0.07,2.2354014598540144,2010,32.14904085267149,North America,13220549858.2014,2733896.0,700053657.0940902,4835.791068205009,248.7621474067334
Jordan,19.25,7.032648401826484,1.42,0.41,0.11,1.94,2013,30.162648401826484,Asia,34454440140.8451,7694814.0,2468979019.236561,4477.61832070861,86.14883564711151
Jordan,22.63,7.032648401826484,1.66,0.48,0.13,2.2354014598540144,2010,34.168049861680494,Asia,27133804225.3521,6931258.0,2216901433.266289,3914.701231053887,77.60029108822212
Kazakhstan,22.41,7.032648401826484,1.99,1.36,0.16,3.52,2013,36.47264840182648,Asia,236634603927.583,17035551.0,6301264944.212534,13890.633999897216,6.251803184114511
Kazakhstan,22.41,7.032648401826484,1.99,1.36,0.16,3.52,2013,36.47264840182648,Asia,236634603927.583,17035551.0,6301264944.212534,13890.633999897216,6.251803184114511
Kazakhstan,22.99,7.032648401826484,2.04,1.4,0.17,2.2354014598540144,2010,35.8680498616805,Asia,148047348240.643,16321872.0,4051187594.039498,9070.488252857454,5.989893214508265
Kazakhstan,22.99,7.032648401826484,2.04,1.4,0.17,2.2354014598540144,2010,35.8680498616805,Asia,148047348240.643,16321872.0,4051187594.039498,9070.488252857454,5.989893214508265
Kenya,7.55,5.99,1.41,0.04,0.02,1.47,2013,16.479999999999997,Africa,61671440480.6895,44792368.0,3041021227.796139,1376.8292062766027,77.17898581939107
